,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify,lat,longi
0,Saarthi Soverign,950,2,2,2021-03-17, Mahalunge,18.57382,73.7561594
1,"Maruti Enclave, Tara Dutta Colony",600,2,1,2021-03-17, B.T Kawade Road,18.5177246,73.90670519999999
2,Jeveen Anand,782,2,2,2021-03-17, Vijay Nagar,22.7532848,75.8936962
3,Goodwill Unique Zest County,667,2,2,2021-03-17, Lohegaon,18.5944704,73.9275889
4,Nikhil Park,735,2,1,2021-03-17, Manik Baug,18.4745254,73.82095360000001
5,Kumar Palmgrove,1200,2,2,2021-03-17, Kondhwa Budruk,18.450386,73.87937450000001
6,Shree Vallabh Residency,550,1,1,2021-03-17, Manjri BK,18.5029897,73.9712483
7,Namrata Ecocity 2,635,1,1,2021-03-17, Maval,41.2921345,-81.46625759999999
8,Fortune East Society,1300,3,3,2021-03-17, Kharadi,18.5538241,73.9476689
9,Shree Ram Empire,1080,2,2,2021-03-17, Siddartha Nagar,12.3037644,76.6866406
10,Navratna Samruddhii,600,1,1,2021-03-17, Hadapsar,18.508934,73.92591019999999
11,Sheth Beverly Hills,642,1,1,2021-03-17, Hinjewadi,18.5912716,73.73890899999999
12,Tejaswini Housing Society,700,1,1,2021-03-17, Aundh,18.5601649,73.8031335
13,Laxmi Puram housing society,950,2,2,2021-03-17," Vikas Nagar , Dehu Road",18.6700628,73.73160419999999
14,Vastushree Adrina,728,1,1,2021-03-17, Keshav Nagar,18.5323976,73.94406459999999
15,RK Residency,1050,2,2,2021-03-17, Wakad,18.6010921,73.7641245
16,Yashwin Jeevan and Orchid,950,2,2,2021-03-17, Sus,40.7466478,-73.99335599999999
17,Marvel Ganga Fria Phase 1,1255,2,2,2021-03-17, Wagholi,18.5807719,73.9787063
18,Vidya Vihar Colony Lane 3 Malwadi,300,1,1,2021-03-17, Hadapsar Gaon,18.4996865,73.9323081
19,Sukhwani royal vimannagar,650,1,1,2021-03-17, Phonix market city,19.0863795,72.8889774
20,Green Leaf Society Lullanagar,1700,3,3,2021-03-17, Sahaney Sujan Park,18.4847307,73.88858239999999
21,Westen tower,780,2,2,2021-03-16, Wakad Annexe,18.60286,73.74527599999999
22,BU Bhandari Colonnade,1015,2,2,2021-03-16, Tukaram Nagar,18.6231133,73.8198508
23,Gauri Shankar Apartment,500,1,1,2021-03-16, Pimple Nilakh,18.5790232,73.7859912
24,Xrbia Township,950,3,2,2021-03-16, Marunji,18.6124747,73.71542149999999
25,Equilife Homes,1100,2,2,2021-03-16, Balewadi,18.5788913,73.7706807
26,Shri Niwas Vihar,550,1,1,2021-03-16, Narhe,18.4464732,73.826375
27,Trimurti Residency,695,1,1,2021-03-16, Katraj,18.4529322,73.86523799999999
28,Budhrani Amber Park,1280,2,2,2021-03-16, Ambegaon Budruk,18.4458033,73.8507279
29,Nahar Yash Ganga Residency,560,1,1,2021-03-16, Narhe,18.4464732,73.826375
30,SBS Sukhwani Glory,1018,2,2,2021-03-16, Dapodi,18.5852963,73.8333804
31,Tanish Homes,995,2,2,2021-03-16, Gokul Colony,18.4817119,73.9461566
