,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
0,Saarthi Soverign,950,2    ,2,2021-03-17, Mahalunge
1,"Maruti Enclave, Tara Dutta Colony",600,2    ,1,2021-03-17, B.T Kawade Road
2,Jeveen Anand,782,2    ,2,2021-03-17, Vijay Nagar
4,Goodwill Unique Zest County,667,2    ,2,2021-03-17, Lohegaon
5,Nikhil Park,735,2    ,1,2021-03-17, Manik Baug
6,Kumar Palmgrove,1200,2    ,2,2021-03-17, Kondhwa Budruk
8,Shree Vallabh Residency,550,1    ,1,2021-03-17, Manjri BK
9,Namrata Ecocity 2,635,1    ,1,2021-03-17, Maval
10,Fortune East Society,1300,3    ,3,2021-03-17, Kharadi
11,Shree Ram Empire,1080,2    ,2,2021-03-17, Siddartha Nagar
13,Navratna Samruddhii,600,1    ,1,2021-03-17, Hadapsar
14,Sheth Beverly Hills,642,1    ,1,2021-03-17, Hinjewadi
15,Tejaswini Housing Society,700,1    ,1,2021-03-17, Aundh
16,Laxmi Puram housing society,950,2    ,2,2021-03-17," Vikas Nagar , Dehu Road"
17,Vastushree Adrina,728,1    ,1,2021-03-17, Keshav Nagar
18,RK Residency,1050,2    ,2,2021-03-17, Wakad
20,Yashwin Jeevan and Orchid,950,2    ,2,2021-03-17, Sus
21,Marvel Ganga Fria Phase 1,1255,2    ,2,2021-03-17, Wagholi
22,Vidya Vihar Colony Lane 3 Malwadi,300,1   ,1,2021-03-17, Hadapsar Gaon
23,Sukhwani royal vimannagar,650,1    ,1,2021-03-17, Phonix market city
24,Green Leaf Society Lullanagar,1700,3    ,3,2021-03-17, Sahaney Sujan Park
25,Westen tower,780,2    ,2,2021-03-16, Wakad Annexe
26,BU Bhandari Colonnade,1015,2    ,2,2021-03-16, Tukaram Nagar
28,Gauri Shankar Apartment,500,1    ,1,2021-03-16, Pimple Nilakh
29,Xrbia Township,950,3    ,2,2021-03-16, Marunji
31,Equilife Homes,1100,2    ,2,2021-03-16, Balewadi
32,Shri Niwas Vihar,550,1    ,1,2021-03-16, Narhe
33,Trimurti Residency,695,1    ,1,2021-03-16, Katraj
34,Budhrani Amber Park,1280,2    ,2,2021-03-16, Ambegaon Budruk
36,Nahar Yash Ganga Residency,560,1    ,1,2021-03-16, Narhe
38,SBS Sukhwani Glory,1018,2    ,2,2021-03-16, Dapodi
39,Tanish Homes,995,2    ,2,2021-03-16, Gokul Colony
40,Saarrthi Sovereign,654,1    ,1,2021-03-16, Hinjewadi
41,Revu Estate,700,1    ,1,2021-03-16, Kundan Nagar
42,RK Residency,1000,2    ,2,2021-03-16, Wakad
44,Kalpataru Serenity,1780,3    ,3,2021-03-16, Manjri
46,BU Bhandari The Boutique,500,1    ,1,2021-03-16, Sakal Nagar
47,Little earth masulkar city,500,1    ,1,2021-03-16, Kiwale
49,Vighnaharta Complex,620,1    ,1,2021-03-16, Narhe
52,Morya Majestic,579,1    ,1,2021-03-16, Sukhsagar Nagar
53,Jai Ganesh Park,505,1    ,1,2021-03-16, Wagholi
54,Tapodham Society,450,1    ,1,2021-03-16, Warje
55,Platinum Towers,1500,3    ,2,2021-03-16, Wakad
56,Amit Plaza,815,2    ,2,2021-03-16, Hadapsar
58,Gobind Ganesh Imperia,1036,2    ,2,2021-03-16, Postal Colony
59,godashri apartment,900,1    ,1,2021-03-16, Wageshwar Nagar
60,ASMIT RESIDENCY,800,2    ,2,2021-03-16, UNDRI CHOWK
61,Megapolis Sparklet,1000,2    ,2,2021-03-16, Phase-3 Hinjewadi
63,Yogeshwar Apartment,530,1    ,1,2021-03-16, Dhayri Phata
64,Unique Prospero,706,2    ,2,2021-03-16, Lohegaon
65,Lebberty Kolosus Green City,1334,3    ,2,2021-03-16, Chikhali
66,Hill Shire,735,1    ,1,2021-03-16, Wagholi
68,Blithe Icon,893,2    ,2,2021-03-16, Wagholi
69,Bora Ville,1170,2    ,2,2021-03-16, Kharadi
70,Manik Baugh Orchid,1250,2    ,2,2021-03-16, Pimpri Chinchwad
71,Nirmal Gangotri Apartments,525,1    ,1,2021-03-16, Guruvar Peth
72,Jaydeep Park,650,1    ,1,2021-03-16, Bhosari
75,Kakade Terrace Apartment,740,1    ,1,2021-03-16, Warje
76,Shejwal Park,550,1    ,1,2021-03-16, Kharadi
78,On Request,550,1    ,1,2021-03-16, Hadapsar
80,Namrta Colony Mauli Heights,1200,1    ,1,2021-03-16, Manjari Budruk
81,Second floor/Aniket Society Building M Block,400,1    ,1,2021-03-16, Baner Pashan Link Roa
86,Rohit Residency,800,1    ,1,2021-03-16, Chinchwad
87,Mittal Pebbles High Mont,900,2    ,2,2021-03-16, Hinjewadi
89,Atrium Skyward,1000,2    ,2,2021-03-16, Undri
90,Townscape Mithila Nagari,1000,2    ,2,2021-03-16, Pimple Saudagar
91,On Request,525,1    ,1,2021-03-16, Bibwewadi
93,Goel Ganga Studio Apartments,550,1   ,1,2021-03-16, Nigdi
94,Kalpataru Splendour,1175,2    ,2,2021-03-16, Shankar Kalat Nagar
95,Xrbia Township,530,2    ,2,2021-03-16, Narhe
96,Kamalraj Nishigandh,850,2    ,2,2021-03-16, Dighi
97,Todkar Township,550,1    ,1,2021-03-16, Sasane Nagar
98,on request,800,1    ,1,2021-03-16, Thite Nagar
99,Arun Sanskriti,1149,2    ,2,2021-03-16, Kaspate Vasti
103,Kshirsagar,750,1    ,1,2021-03-16, Kharadi
104,Near Dhayari phata,700,1    ,1,2021-03-16, Narhe
105,Sai Leela Apartment,1000,2    ,2,2021-03-16, Manaji Nagar
106,Sukhwani Palm Breeze,950,2    ,1,2021-03-16, Pimple Saudagar
107,Polite Precisa,1480,3    ,3,2021-03-16, Ravet
108,Megapolis Sangria Hinjewadi,1430,3    ,2,2021-03-16, Phase-3 Hinjewadi
109,Shree Sai Heritage,736,2    ,2,2021-03-16, Vadgaon Budruk
110,TCG Panorama,520,1    ,1,2021-03-16, Ambegaon
112,Nandan Inspera,1097,2    ,2,2021-03-16, Shankar Kalat Nagar
114,Choice Goodwill Orchids,850,2    ,2,2021-03-16, Madhav Nagar
115,Cassiopeia Classic,1100,3    ,2,2021-03-16, Baner
116,Venkatesh Galxy,550,1    ,1,2021-03-16, Tilekar Nagar
117,Renuka Morya Park,470,1    ,1,2021-03-16, Gandhi Peth
118,Mhada,750,1    ,1,2021-03-16, Mahalunge Ingale
119,Asha nagar housing society,560,2    ,1,2021-03-16, Vaiduwadi
120,Freesia Sky,850,2    ,2,2021-03-16," Datta Nagari, Manjari Budruk"
123,Shree Ganesha Apartment,590,1    ,1,2021-03-16, Pimple Gurav
124,GK Dwarkadheesh Residency,1100,2    ,2,2021-03-16, Pimple Saudagar
125,Shivram Heights,568,1    ,1,2021-03-16, Punawale
126,Mayureshwar Vihar Society,650,1    ,1,2021-03-16, Katraj
128,On Request,840,2    ,2,2021-03-16, Ambegaon Bk
129,Sarita Residency,690,1    ,1,2021-03-16, Phursungi
130,Venkateshwara Park,575,1    ,1,2021-03-16, Thergaon
131,Meghmalhar Housing Society Warje Pune,950,2    ,2,2021-03-16, Near Hill View Residency
132,Ajonkya Apartment,500,1    ,1,2021-03-16, Bopodi
133,Sidhivinayak,500,2    ,3,2021-03-16, Pimple Gurav
134,Shree Heritage,850,2    ,2,2021-03-16, Ravet
135,Hermes Heritage,1010,2    ,2,2021-03-16, Shastri Nagar
136,Raviraj Solace Park,610,1    ,1,2021-03-16, Ganesh Nagar
138,"CHAITANYA APARTMENT, WAKAD",530,1    ,1,2021-03-16, DANGE CHOWK ROAD
139,Mont Vert Belbrook,2000,2    ,2,2021-03-16, Bhugaon
140,Siddhant Sai Vista,1000,2    ,2,2021-03-16, Ravet
141,St. Anthonys Colony,680,1    ,1,2021-03-16, Mundhwa
142,VP Sera Bella,850,2    ,2,2021-03-16, Tathawade
143,Onnyyx Sai Villa,850,2    ,2,2021-03-16, Vadgaon Sheri
144,Saptsiddhi Savali Homes,613,1    ,1,2021-03-16, Uruli Devachi
145,rutumbara gruha alankar,550,1    ,1,2021-03-16, Narhe
146,trupti kunj,900,2    ,2,2021-03-16, Narhe
147,Madhav Manor Apartment,500,1    ,1,2021-03-16, Kothrud
149,Aishwarya Complex,6000,1    ,1,2021-03-16, Bhekrai Nagar
150,Ridhhiraj Building,420,1    ,2,2021-03-16, Undri
151,SBS Sukhwani Glory,1050,2    ,2,2021-03-16, Dapodi
152,sai krupa apartments,1000,2    ,1,2021-03-16, Bhekrai Nagar
153,Suyash Srushti,543,1    ,1,2021-03-16, Hadapsar
154,Ganaraj CHS,610,1    ,1,2021-03-16, Mohan Nagar
155,Omkar Nivaas,600,1    ,1,2021-03-16, Fursungi Gaon
157,Kanchan Eleena Society by Try Developer,800,2    ,2,2021-03-16, Kemse Vasti
158,Aaiji The Celsia Park,1275,3    ,2,2021-03-16, Narhe
159,Sunshree Woods,1100,2    ,2,2021-03-16, NIBM
160,brahma memory fields,850,2    ,2,2021-03-16, Lullanagar
161,GK Rose E Mehar,873,2    ,2,2021-03-16, Rahatani
162,Palm Groves,1800,3    ,3,2021-03-16, B.T Kawade Road
163,Vadgaon sheri,750,1    ,1,2021-03-16, Sainikwadi
